stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
13380,13380,PEAK @ MUNGER - W - NS,,32.802681,-96.783783,,,0
13385,13385,BLACKBURN @ TURTLE CREEK - W - MB,,32.811151,-96.798506,,,1
13386,13386,OAK LAWN @ HOLLAND - S - MB,,32.813899,-96.803391,,,1
13389,13389,MAPLE @ HONDO - N - FS,,32.810401,-96.821282,,,0
13390,13390,MAPLE @ LUCAS - S - NS,,32.811599,-96.822815,,,1
13391,13391,MEDICAL DISTRICT @ MAPLE - S - FS,,32.814742,-96.829445,,,0
13393,13393,MEDICAL DISTRICT @ HARRY HINES - S - MB,,32.810804,-96.834023,,,0
13394,13394,MEDICAL DISTRICT @ HARRY HINES - N - FS,,32.81044,-96.834089,,,0
13396,13396,MEDICAL DISTRICT @ MAPLE - N - MB,,32.814827,-96.829293,,,1
13397,13397,MAPLE @ KINGS - S - NS,,32.813816,-96.825493,,,1
13398,13398,MAPLE @ LUCAS - N - NS,,32.811416,-96.822503,,,1
13399,13399,MAPLE @ OAK LAWN - N - NS,,32.803974,-96.814034,,,1
13402,13402,OAK LAWN @ HOLLAND - N - NS,,32.813327,-96.803749,,,0
13403,13403,BLACKBURN @ OAK LAWN - E - FS,,32.814231,-96.802094,,,1
13404,13404,BLACKBURN @ TRAVIS - E - MB,,32.811241,-96.798752,,,0
13405,13405,BLACKBURN @ MCKINNEY - E - FS,,32.808453,-96.795626,,,1
13407,13407,HASKELL @ LAFAYETTE - E - FS,,32.802156,-96.786458,,,0
13408,13408,HASKELL @ ROSS - E - NS,,32.800079,-96.784028,,,1
13411,13411,HASKELL @ LIVE OAK - E - NS,,32.796615,-96.780007,,,1
13413,13413,HASKELL @ GASTON - E - NS,,32.794052,-96.777054,,,1
13414,13414,HASKELL @ JUNIUS - E - NS,,32.793067,-96.775971,,,1
13416,13416,HASKELL @ CRUTCHER - E - NS,,32.791248,-96.773865,,,1
13418,13418,HASKELL @ ELM - E - NS,,32.789444,-96.771798,,,1
13420,13420,HASKELL @ ASH - E - FS,,32.785276,-96.76684,,,1
13421,13421,HASKELL @ PARRY - E - NS,,32.784076,-96.765419,,,1
13432,13432,HAMPTON @ WADDY - N - NS,,32.744594,-96.856697,,,0
